,0,searchResult,searchResultBettingOnTerms, Instagram Followers , Twitter Followers ,
1,Evan Fournier,3580000.00,495000.00,181000.00,251500.00,
2,Jamal Murray,9930000.00,1480000.00,967000.00,205900.00,
3,Michael Porter Jr,58900000.00,13500000.00,,,
4,Nikola Jokic,6310000.00,1080000.00,,,
5,Nikola Vucevic,1950000.00,5600000.00,,107500.00,
6,Paul Millsap,1750000.00,678000.00,249000.00,68900.00,
7,Will Barton,115000000.00,6690000.00,107700.00,43500.00,
8,Brandon Ingram,10100000.00,1130000.00,2100000.00,344300.00,
9,Dennis Schroder,2980000.00,1010000.00,1700000.00,,
10,Eric Bledsoe,2460000.00,5970000.00,562000.00,238900.00,
11,Kentavious Caldwell-Pope,566000.00,108000.00,460000.00,106200.00,
12,Kyle Kuzma,4120000.00,2350000.00,5100000.00,1000000.00,
13,Markieff Morris,644000.00,2100000.00,305000.00,86000.00,
14,Steven Adams,99300000.00,20700000.00,479000.00,217700.00,
15,Zion Williamson,8260000.00,832000.00,5000000.00,475000.00,
16,Alex Len,37300000.00,3100000.00,48300.00,16300.00,
17,Bradley Beal,7880000.00,1650000.00,1300000.00,578700.00,
18,Garrison Mathews,1330000.00,1230000.00,6910.00,3014.00,
19,Julius Randle,4240000.00,999000.00,844000.00,445100.00,
20,Nerlens Noel,488000.00,291000.00,278000.00,223300.00,
21,Reggie Bullock,1180000.00,1700000.00,170000.00,90700.00,
22,RJ Barrett,66300000.00,2060000.00,1300000.00,181900.00,
23,Rui Hachimura,875000.00,60100.00,436000.00,191700.00,
24,Russell Westbrook,28200000.00,1650000.00,16000000.00,6600000.00,
25,Bam Adebayo,1940000.00,342000.00,719000.00,172500.00,
26,Chris Paul,1030000000.00,18300000.00,10000000.00,8200000.00,
27,Deandre Ayton,1070000.00,84100.00,393000.00,76300.00,
28,Devin Booker,7440000.00,6410000.00,3000000.00,834800.00,
29,Duncan Robinson,79400000.00,3090000.00,295000.00,37000.00,
30,Jae Crowder,950000.00,975000.00,438000.00,178400.00,
31,Jimmy Butler,51500000.00,5500000.00,6000000.00,760400.00,
32,Kelly Olynyk,529000.00,278000.00,179000.00,79200.00,
33,Kendrick Nunn,1120000.00,921000.00,271000.00,27400.00,
34,Mikal Bridges ,619000.00,213000.00,99400.00,26000.00,
35,C.J. McCollum,4480000.00,935000.00,1400000.00,516600.00,
36,Damian Lillard,16000000.00,1540000.00,8700000.00,2500000.00,
37,Derrick Jones Jr,20100000.00,9340000.00,439000.00,30300.00,
38,Enes Kanter,2200000.00,410000.00,538000.00,472800.00,
39,James Harden,53800000.00,7230000.00,11400000.00,7000000.00,
40,Robert Covington,19400000.00,5960000.00,258000.00,104600.00,
41,Andrew Wiggins,14600000.00,1650000.00,1800000.00,510500.00,
42,Ben Simmons,46700000.00,7550000.00,5400000.00,1000000.00,
43,Danny Green,427000000.00,4330000.00,1300000.00,640500.00,
44,Draymond Green,5850000.00,5750000.00,3300000.00,1400000.00,
45,Furkan Korkmaz,1870000.00,255000.00,532000.00,98300.00,
46,Jordan Poole,22800000.00,4050000.00,,,
47,Kelly Oubre Jr,1550000.00,2470000.00,2100000.00,144100.00,
48,Tobias Harris,24600000.00,4780000.00,517000.00,224300.00,
49,Tony Bradley,61000000.00,8060000.00,64500.00,20700.00,
50,James Wiseman,16900000.00,7140000.00,560000.00,55000.00,
53,Kyrie Irving,27200000.00,1620000.00,14400000.00,,
54,DeAndre Jordan,6200000.00,6100000.00,1900000.00,1100000.00,
55,Jeff Green,542000000.00,16200000.00,316000.00,158600.00,
56,Joe Harris,413000000.00,4290000.00,120000.00,,
59,Kyle Lowry,14800000.00,4720000.00,1500000.00,902600.00,
60,Darius Garland,1720000.00,701000.00,312000.00,34100.00,
61,Chris Boucher,10300000.00,6210000.00,171000.00,23100.00,
62,Collin Sexton,7580000.00,6720000.00,804000.00,43600.00,
63,Fred VanVleet,3430000.00,397000.00,739000.00,163800.00,
64,Isaac Okoro,745000.00,2060000.00,141000.00,28100.00,
65,Jarrett Allen,8830000.00,6280000.00,181000.00,41000.00,
66,Larry Nance Jr,3460000.00,4940000.00,482000.00,306800.00,
67,Norman Powell,92600000.00,3070000.00,328000.00,63300.00,
68,OG Anunoby,791000.00,139000.00,215000.00,50700.00,
69,Pascal Siakam,2150000.00,5610000.00,715000.00,127300.00,
71,Saddiq Bey,360000.00,231000.00,23100.00,,
72,Wendell Carter Jr,4710000.00,1530000.00,163000.00,,
73,Zach LaVine,12900000.00,430000.00,2200000.00,392100.00,
74,Coby White,13800000.00,3820000.00,452000.00,63700.00,
75,Delon Wright,1370000.00,968000.00,122000.00,33300.00,
76,Jerami Grant,1180000.00,5600000.00,158000.00,48200.00,
77,Lauri Markkanen,2050000.00,342000.00,303000.00,107600.00,
78,Mason Plumlee,1190000.00,411000.00,,85000.00,
79,Patrick Williams,394000000.00,12500000.00,87700.00,20100.00,
80,Thaddeus Young,5810000.00,3220000.00,22200.00,63700.00,
81,Montrezl Harrell,1470000.00,4110000.00,546000.00,139800.00,
82,Mikal Bridges,619000.00,213000.00,99400.00,26000.00,
83,Luka Doncic,11100000.00,1410000.00,5600000.00,1100000.00,
84,Josh Richardson,30600000.00,8190000.00,280000.00,82000.00,
85,Carmelo Anthony,15200000.00,3520000.00,7400000.00,9200000.00,
86,Dorian Finney-Smith,596000.00,1140000.00,57200.00,11500.00,
87,Gary Trent Jr,12200000.00,6970000.00,184000.00,56700.00,
88,Tim Hardaway Jr,1490000.00,6030000.00,477000.00,136700.00,
89,Maxi Kleber,1980000.00,1920000.00,96300.00,13400.00,
90,Kristaps Porzingis,2970000.00,5640000.00,1600000.00,378800.00,
91,LeBron James,97200000.00,17000000.00,81500000.00,49400000.00,
92,Trae Young,35900000.00,1820000.00,3000000.00,906500.00,
93,John Collins,355000000.00,10900000.00,159000.00,28800.00,
94,Clint Capela,959000.00,5590000.00,311000.00,86700.00,
95,Kevin Huerter,378000.00,688000.00,77500.00,23900.00,
96,Full-Time,12490000000.00,111000000.00,,,
97,Ja Morant,5530000.00,415000.00,3700000.00,986200.00,
98,Dillon Brooks,25800000.00,8060000.00,120000.00,23900.00,
99,Jonas Valanciunas,902000.00,4070000.00,242000.00,178700.00,
100,Kyle Anderson,82200000.00,16900000.00,130000.00,50600.00,
101,Grayson Allen,14100000.00,4730000.00,393000.00,255600.00,
102,Kevon Looney,391000.00,290000.00,232000.00,50600.00,
103,Giannis Antetokounmpo,14000000.00,1500000.00,8800000.00,1500000.00,
104,Khris Middleton,1680000.00,3970000.00,258000.00,68400.00,
105,DeMar DeRozan,3350000.00,5420000.00,2400000.00,645600.00,
106,Dejounte Murray,842000.00,1640000.00,804000.00,153300.00,
107,Jrue Holiday,1640000.00,5530000.00,346000.00,55200.00,
108,Derrick White,89200000.00,9200000.00,88800.00,,
109,Brook Lopez,34300000.00,9320000.00,,,
110,Keldon Johnson,567000.00,340000.00,120000.00,,
111,Jakob Poeltl,339000.00,155000.00,72800.00,,
112,R.J. Barrett,62000000.00,2210000.00,1300000.00,182200.00,
113,Alec Burks,696000.00,654000.00,,55100.00,
114,Immanuel Quickley,609000.00,594000.00,179000.00,70300.00,
115,Mitchell Robinson,105000000.00,18200000.00,147000.00,43200.00,
116,Tyler Herro,1720000.00,2340000.00,2400000.00,321500.00,
117,Shake Milton,8650000.00,7090000.00,,23100.00,
118,Tomas Satoransky,263000.00,82900.00,92900.00,18100.00,
119,Zach Lavine,12900000.00,414000.00,2200000.00,397500.00,
120,Fred Van Vleet,3050000.00,389000.00,739000.00,164100.00,
121,Malcolm Brogdon,1020000.00,347000.00,138000.00,11800.00,
122,Domantas Sabonis,1780000.00,4800000.00,221000.00,44000.00,
123,Caris LaVert,1450000.00,267000.00,242000.00,,
124,Myles Turner,7990000.00,7020000.00,221000.00,107600.00,
125,Justin Holiday,121000000.00,9580000.00,169000.00,29300.00,
126,De'Aaron Fox,53300000.00,11000000.00,1400000.00,273600.00,
127,Buddy Hield,1510000.00,814000.00,551000.00,130800.00,
128,Harrison Barnes,41100000.00,5750000.00,1000000.00,601700.00,
129,Richaun Holmes,595000.00,1980000.00,61500.00,30400.00,
130,Gordon Hayward,18000000.00,6850000.00,1300000.00,667800.00,
131,Terry Rozier,1990000.00,5900000.00,,168300.00,
132,Michael Porter Jr,58900000.00,13500000.00,,,
133,LaMelo Ball,8170000.00,2400000.00,6600000.00,832600.00,
134,PJ Washington,267000000.00,6180000.00,248000.00,72500.00,
135,Frank Jackson,329000000.00,13600000.00,,,
136,CJ McCollum,4070000.00,895000.00,1400000.00,517500.00,
137,Russell Westbrook III,29100000.00,8200000.00,16000000.00,6600000.00,
138,RJ Barrett Jr,26700000.00,7020000.00,1300000.00,182200.00,
139,Jimmy Butler III,45900000.00,13800000.00,6000000.00,760800.00,
140,Jayson Tatum,8400000.00,1780000.00,3600000.00,734800.00,
141,Jaylen Brown,7430000.00,7430000.00,1400000.00,440100.00,
142,Kemba Walker,3870000.00,858000.00,1500000.00,451800.00,
143,Larry Nance Jr,3460000.00,4940000.00,482000.00,307100.00,
144,Lonnie Walker IV,1930000.00,1470000.00,237000.00,60000.00,
145,Aaron Gordon,89500000.00,15900000.00,1200000.00,190900.00,
146,Donovan Mitchell,43900000.00,4260000.00,3200000.00,949500.00,
147,Mike Conley,9730000.00,3540000.00,585000.00,530600.00,
148,Bojan Bogdanovic,789000.00,735000.00,111000.00,22800.00,
149,Rudy Gobert,6690000.00,5860000.00,562000.00,525300.00,
150,Royce O'Neale,199000.00,176000.00,115000.00,42100.00,
151,Anthony Edwards,107000000.00,9350000.00,605000.00,59800.00,
152,Karl-Anthony Towns,8910000.00,6680000.00,2900000.00,593800.00,
153,Ricky Rubio,15800000.00,3210000.00,647000.00,2900000.00,
154,Tim Hardaway Jr,1490000.00,6030000.00,477000.00,136700.00,
155,Derrick Jones Jr,20100000.00,9340000.00,439000.00,30400.00,
156,Marcus Smart,86700000.00,13000000.00,575000.00,310000.00,
157,Daniel Theis,3200000.00,1150000.00,144000.00,46900.00,
158,Donte DiVincenzo,847000.00,168000.00,47400.00,9576.00,
159,Tyrese Haliburton,818000.00,5640000.00,116000.00,39300.00,
160,Landry Shamet,381000.00,243000.00,107000.00,30500.00,
161,Robin Lopez,60600000.00,16900000.00,164000.00,160300.00,
162,Raul Neto,13100000.00,1190000.00,122000.00,24000.00,
163,Otto Porter Jr,15200000.00,2770000.00,,,
164,Isaiah Stewart,9760000.00,4010000.00,89800.00,11900.00,
165,Josh Jackson,113000000.00,23800000.00,272000.00,59700.00,
166,Moses Brown,120000000.00,12400000.00,,,
167,Shai Gilgeous-Alexander,1300000.00,175000.00,842000.00,96100.00,
168,Theo Maledon,445000.00,449000.00,49400.00,,
169,Aleksej Pokusevski,172000.00,211000.00,28100.00,5856.00,
170,P.J. Washington,310000000.00,6210000.00,24800.00,72500.00,
171,Patty Mills,12000000.00,7060000.00,414000.00,408100.00,
172,Caris LeVert,1450000.00,5660000.00,242000.00,52500.00,
173,Cody Zeller,1040000.00,2460000.00,39200.00,144600.00,
174,Stephen Curry,79100000.00,10400000.00,33200000.00,15100000.00,
175,Desmond Bane,703000.00,2100000.00,26900.00,12800.00,
176,Danilo Gallinari,1390000.00,905000.00,410000.00,705600.00,
177,Bogdan Bogdanovic,1210000.00,5600000.00,594000.00,262200.00,
178,Brandon Clarke,30900000.00,8170000.00,71300.00,24600.00,
179,Deni Avdija,602000.00,267000.00,193000.00,,
181,DeAndre Ayton,1070000.00,146000.00,393000.00,76400.00,
182,Kelly Oubre Jr,1550000.00,2470000.00,2100000.00,144100.00,
183,Donte DiVincenzo ,847000.00,168000.00,47400.00,9576.00,
184,Dejounte Murray,1040000.00,1890000.00,804000.00,153300.00,
185,DeMar D,9030000.00,6040000.00,2400000.00,645500.00,
186,Giannis Antetok,14000000.00,1500000.00,8800000.00,1500000.00,
187,Jrue H,691000.00,162000.00,331000.00,155200.00,
188,Khris Mid,351000.00,425000.00,259000.00,68500.00,
189,John Wall,1640000000.00,13600000.00,4400000.00,1900000.00,
190,Danuel House Jr,1670000.00,254000.00,86200.00,17100.00,
191,Isaiah Roby,685000.00,721000.00,33800.00,16600.00,
192,Jae'Sean Tate,5980000.00,4930000.00,48300.00,13600.00,
193,Christian Wood,398000000.00,4010000.00,187000.00,44200.00,
194,Bismack Biyombo,337000.00,186000.00,137000.00,53800.00,
195,Tony Snell,4110000.00,3680000.00,50200.00,16700.00,
196,DeAaron Fox,2750000.00,349000.00,1400000.00,,
197,Jordan Clarkson,23100000.00,7470000.00,1400000.00,414300.00,
198,Aron Baynes,727000.00,5670000.00,,,
199,Joe Ingles,22100000.00,4770000.00,211000.00,195300.00,
200,Kenrich Williams,216000.00,259000.00,,,