,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,OGscrapeDate,SiteName,id_old,status_new,status_old,status,Americanprice,Team_ID_away,Game_ID,GAME_DATE_away,MATCHUP_away,WL_away,W_away,L_away,W_PCT_away,MIN_away,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTM_away,FTA_away,FT_PCT_away,OREB_away,DREB_away,REB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,team_away,ignore_away,Team_ID_home,GAME_DATE_home,MATCHUP_home,WL_home,W_home,L_home,W_PCT_home,MIN_home,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTM_home,FTA_home,FT_PCT_home,OREB_home,DREB_home,REB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,team_home,ignore_home,abbr_home,abbr_away,total,result,homeSpread,awaySpread,TEAM_x,TWITTER_x,INSTAGRAM_x,FACEBOOK_x,TOTAL_x,ROI,TEAM_y,TWITTER_y,INSTAGRAM_y,FACEBOOK_y,TOTAL_y
0,132,132,132,132,67,132,132,132,132,132,132,130,132,132,67,132,132,26,26,26,26,26,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,132,131,131,132,132,132,132,132,132,Atlanta Hawks,"1,253,734","1,177,581","1,607,529","4,038,844"
1,349,349,349,349,170,349,349,349,349,349,349,344,349,349,170,349,349,71,71,71,71,73,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,348,348,349,349,349,349,349,349,Boston Celtics,"3,489,217","4,583,689","8,982,943","17,055,849"
2,341,341,341,341,171,341,341,341,341,341,341,336,341,341,171,341,341,66,66,66,66,65,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,341,340,340,341,341,341,341,341,341,Brooklyn Nets,"1,055,105","1,826,072","2,734,352","5,615,529"
3,243,243,243,243,118,243,243,243,243,243,243,239,243,243,118,243,243,45,45,45,45,50,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,243,198,198,243,243,243,243,243,243,Charlotte Hornets,"957,488","1,139,120","1,733,481","3,830,089"
4,421,421,421,421,203,421,421,421,421,421,421,414,421,421,203,421,421,80,80,80,80,91,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,421,399,399,421,421,421,421,421,421,Chicago Bulls,"4,113,064","4,776,771","17,651,233","26,541,068"
5,353,353,353,353,166,353,353,353,353,353,353,347,353,353,166,353,353,64,64,64,64,78,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,353,352,352,353,353,353,353,353,353,Cleveland Cavaliers,"3,255,990","7,451,311","8,537,880","19,245,181"
6,253,253,253,253,133,253,253,253,253,253,253,249,253,253,133,253,253,42,42,42,42,52,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,Dallas Mavericks,"1,632,318","1,412,667","4,364,820","7,409,805"
7,329,329,329,329,165,329,329,329,329,329,329,324,329,329,165,329,329,65,65,65,65,65,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,329,328,328,329,329,329,329,329,329,Denver Nuggets,"926,393","1,082,183","2,003,609","4,012,185"
8,264,264,264,264,132,264,264,264,264,264,264,260,264,264,132,264,264,54,54,54,54,52,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,264,263,263,264,264,264,264,264,264,Detroit Pistons,"925,622","1,042,112","1,848,071","3,815,805"
9,267,267,267,267,131,267,267,267,267,267,267,263,267,267,131,267,267,52,52,52,52,52,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,Golden State Warriors,"6,382,948","13,201,981","11,695,064","31,279,993"
10,270,270,270,270,138,270,270,270,270,270,270,266,270,270,138,270,270,52,52,52,52,52,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,270,269,269,270,270,270,270,270,270,Houston Rockets,"2,972,379","4,344,989","12,974,848","20,292,216"
11,307,307,307,307,135,307,307,307,307,307,307,301,307,307,135,307,307,52,52,52,52,78,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,307,285,285,307,307,307,307,307,307,Indiana Pacers,"1,228,323","1,684,935","3,233,798","6,147,056"
12,248,248,248,248,123,248,248,248,248,248,248,244,248,248,123,248,248,44,44,44,44,50,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,248,201,201,248,248,248,248,248,248,Los Angeles Lakers,"8,155,399","9,960,137","21,583,829","39,699,365"
13,327,327,327,327,163,327,327,327,327,327,327,322,327,327,163,327,327,66,66,66,66,65,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,Memphis Grizzlies,"1,052,319","896,548","1,800,241","3,749,108"
14,241,241,241,241,129,241,241,241,241,241,241,237,241,241,129,241,241,39,39,39,39,52,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,241,240,240,241,241,241,241,241,241,Miami Heat,"4,677,528","3,710,653","15,188,432","23,576,613"
15,182,182,182,182,73,182,182,182,182,182,182,178,182,182,73,182,182,26,26,26,26,52,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,182,161,161,182,182,182,182,182,182,Milwaukee Bucks,"1,130,626","2,341,409","1,843,668","5,315,703"
16,298,298,298,298,158,298,298,298,298,298,298,293,298,298,158,298,298,44,44,44,44,63,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,Minnesota Timberwolves,"968,057","1,696,954","1,882,062","4,547,073"
17,111,111,111,111,53,111,111,111,111,111,111,109,111,111,53,111,111,18,18,18,18,24,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,110,110,111,111,111,111,111,111,New Orleans Pelicans,"1,011,403","1,697,066","1,758,523","4,466,992"
18,129,129,129,129,65,129,129,129,129,129,129,127,129,129,65,129,129,27,27,27,27,26,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,129,128,128,129,129,129,129,129,129,New York Knicks,"2,154,511","2,313,686","5,808,330","10,276,527"
19,133,133,133,133,66,133,133,133,133,133,133,131,133,133,66,133,133,26,26,26,26,26,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,133,132,132,133,133,133,133,133,133,Oklahoma City Thunder,"2,761,474","4,387,822","7,022,622","14,171,918"
20,224,224,224,224,109,224,224,224,224,224,224,221,224,224,109,224,224,43,43,43,43,47,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,224,223,223,224,224,224,224,224,224,Orlando Magic,"1,492,566","1,027,624","2,736,367","5,256,557"
21,128,128,128,128,64,128,128,128,128,128,128,126,128,128,64,128,128,26,26,26,26,26,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,127,127,128,128,128,128,128,128,Philadelphia 76ers,"1,812,422","2,235,941","1,752,623","5,800,986"
22,367,367,367,367,194,367,367,367,367,367,367,361,367,367,194,367,367,57,57,57,57,76,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,367,366,366,367,367,367,367,367,367,Phoenix Suns,"1,086,645","1,269,761","1,878,933","4,235,339"
23,291,291,291,291,147,291,291,291,291,291,291,286,291,291,147,291,291,47,47,47,47,63,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,Portland Trail Blazers,"1,253,838","1,648,030","2,453,147","5,355,015"
24,343,343,343,343,164,343,343,343,343,343,343,337,343,343,164,343,343,64,64,64,64,78,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,Sacramento Kings,"1,065,005","1,315,785","7,735,945","10,116,735"
25,321,321,321,321,166,321,321,321,321,321,321,316,321,321,166,321,321,52,52,52,52,65,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,San Antonio Spurs,"3,471,531","2,866,486","7,017,398","13,355,415"
26,394,394,394,394,198,394,394,394,394,394,394,388,394,394,198,394,394,78,78,78,78,78,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,394,393,393,394,394,394,394,394,394,Toronto Raptors,"2,114,854","2,994,500","2,672,265","7,781,619"
27,291,291,291,291,138,291,291,291,291,291,291,286,291,291,138,291,291,53,53,53,53,65,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,291,270,270,291,291,291,291,291,291,Utah Jazz,"952,978","914,880","7,017,398","8,885,256"
28,200,200,200,200,101,200,200,200,200,200,200,197,200,200,101,200,200,39,39,39,39,39,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,200,199,199,200,200,200,200,200,200,Washington Wizards,"1,017,624","1,397,876","3,191,765","5,607,265"
